Avg_3Day_Confirmed_RatePer100K,Avg_3Day_Confirmed_RatePer100K_,Avg_3Day_Deceased_RatePer100K,Avg_3Day_Deceased_RatePer100K_D,CONFIRMED,Confirmed_RatePer100K,DECEASED,Deceased_RatePer100K,LOADED,RECOVERED,reported,TOTAL_CONFIRMED,TOTAL_DECEASED,Total_Population,TOTAL_RECOVERED,WEEKBEGINNINGDATE,WEEKENDINGDATE,YEAR_WEEK,ObjectId
47.996366,2.432366,0.5212,-0.086866,441,57.4653,3,0.3909,2021/02/25 11:17:00+00,175,2020/10/30 04:00:00+00,24761,402,767419,12783,2020/10/25 04:00:00+00,2020/10/31 04:00:00+00,202044,1
47.909466,-0.0869,0.347466,-0.173734,354,46.1286,1,0.1303,2021/02/25 11:17:00+00,297,2020/10/31 04:00:00+00,24988,402,767419,12968,2020/10/25 04:00:00+00,2020/10/31 04:00:00+00,202044,2
47.648866,-0.2606,0.173733,-0.173733,302,39.3527,0,0,2021/02/25 11:17:00+00,40,2020/11/01 04:00:00+00,25285,402,767419,13009,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,3
36.659666,-10.9892,0.043433,-0.1303,188,24.4977,0,0,2021/02/25 11:17:00+00,36,2020/11/02 05:00:00+00,25473,402,767419,13045,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,4
36.616233,-0.043433,0.3475,0.304067,353,45.9983,8,1.0425,2021/02/25 11:17:00+00,155,2020/11/03 05:00:00+00,25813,410,767419,13194,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,5
37.702133,1.0859,0.6081,0.2606,327,42.6104,6,0.7818,2021/02/25 11:17:00+00,255,2020/11/04 05:00:00+00,26131,416,767419,13443,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,6
46.0852,8.383067,0.825266,0.217166,381,49.6469,5,0.6515,2021/02/25 11:17:00+00,81,2020/11/05 05:00:00+00,26497,421,767419,13516,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,7
50.732833,4.647633,0.477766,-0.3475,460,59.9412,0,0,2021/02/25 11:17:00+00,275,2020/11/06 05:00:00+00,26987,421,767419,13789,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,8
51.5581,0.825267,0.434333,-0.043433,346,45.0862,5,0.6515,2021/02/25 11:17:00+00,142,2020/11/07 05:00:00+00,27338,426,767419,13931,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,9
44.999333,-6.558767,0.2606,-0.173733,230,29.9706,1,0.1303,2021/02/25 11:17:00+00,83,2020/11/08 05:00:00+00,27568,427,767419,14013,2020/11/08 05:00:00+00,2020/11/14 05:00:00+00,202046,10
42.610366,-2.388967,0.2606,0,405,52.7743,0,0,2021/02/25 11:17:00+00,90,2020/11/09 05:00:00+00,27971,427,767419,14100,2020/11/08 05:00:00+00,2020/11/14 05:00:00+00,202046,11
43.696266,1.0859,0.173733,-0.086867,371,48.3439,3,0.3909,2021/02/25 11:17:00+00,283,2020/11/10 05:00:00+00,28336,430,767419,14369,2020/11/08 05:00:00+00,2020/11/14 05:00:00+00,202046,12
51.2975,7.601234,0.3909,0.217167,405,52.7743,6,0.7818,2021/02/25 11:17:00+00,313,2020/11/11 05:00:00+00,28938,437,767419,14781,2020/11/08 05:00:00+00,2020/11/14 05:00:00+00,202046,13
57.682533,6.385033,0.3909,0,552,71.9294,0,0,2021/02/25 11:17:00+00,222,2020/11/12 05:00:00+00,29344,436,767419,14873,2020/11/08 05:00:00+00,2020/11/14 05:00:00+00,202046,14
69.453566,11.771033,0.3909,0,642,83.657,3,0.3909,2021/02/25 11:17:00+00,154,2020/11/13 05:00:00+00,29971,439,767419,15029,2020/11/08 05:00:00+00,2020/11/14 05:00:00+00,202046,15
78.314433,8.860867,0.173733,-0.217167,609,79.3569,1,0.1303,2021/02/25 11:17:00+00,629,2020/11/14 05:00:00+00,30598,440,767419,15659,2020/11/08 05:00:00+00,2020/11/14 05:00:00+00,202046,16
69.801066,-8.513367,0.217166,0.043433,356,46.3893,1,0.1303,2021/02/25 11:17:00+00,98,2020/11/15 05:00:00+00,30953,441,767419,15753,2020/11/15 05:00:00+00,2020/11/21 05:00:00+00,202047,17
53.947066,-15.854,0.1303,-0.086866,277,36.095,1,0.1303,2021/02/25 11:17:00+00,95,2020/11/16 05:00:00+00,31225,442,767419,15848,2020/11/15 05:00:00+00,2020/11/21 05:00:00+00,202047,18
42.089133,-11.857933,0.3909,0.2606,336,43.7831,7,0.9121,2021/02/25 11:17:00+00,245,2020/11/17 05:00:00+00,31534,449,767419,16087,2020/11/15 05:00:00+00,2020/11/21 05:00:00+00,202047,19
49.950966,7.861833,0.564633,0.173733,537,69.9748,5,0.6515,2021/02/25 11:17:00+00,231,2020/11/18 05:00:00+00,32058,454,767419,16312,2020/11/15 05:00:00+00,2020/11/21 05:00:00+00,202047,20
67.629266,17.6783,0.7818,0.217167,684,89.1299,6,0.7818,2021/02/25 11:17:00+00,231,2020/11/19 05:00:00+00,32721,460,767419,16533,2020/11/15 05:00:00+00,2020/11/21 05:00:00+00,202047,21
82.3974,14.768134,0.7818,0,676,88.0875,7,0.9121,2021/02/25 11:17:00+00,186,2020/11/20 05:00:00+00,33391,467,767419,16717,2020/11/15 05:00:00+00,2020/11/21 05:00:00+00,202047,22
85.3076,2.9102,0.738366,-0.043434,604,78.7054,4,0.5212,2021/02/25 11:17:00+00,250,2020/11/21 05:00:00+00,33989,470,767419,16973,2020/11/15 05:00:00+00,2020/11/21 05:00:00+00,202047,23
78.314466,-6.993134,0.477766,-0.2606,523,68.1505,0,0,2021/02/25 11:17:00+00,546,2020/11/22 05:00:00+00,34505,470,767419,17521,2020/11/22 05:00:00+00,2020/11/28 05:00:00+00,202048,24
70.235433,-8.079033,0.304033,-0.173733,490,63.8504,3,0.3909,2021/02/25 11:17:00+00,111,2020/11/23 05:00:00+00,34987,473,767419,17631,2020/11/22 05:00:00+00,2020/11/28 05:00:00+00,202048,25
63.068533,-7.1669,0.651533,0.3475,439,57.2047,12,1.5637,2021/02/25 11:17:00+00,418,2020/11/24 05:00:00+00,35396,485,767419,18037,2020/11/22 05:00:00+00,2020/11/28 05:00:00+00,202048,26
66.977733,3.9092,0.912133,0.2606,613,79.8781,6,0.7818,2021/02/25 11:17:00+00,647,2020/11/25 05:00:00+00,35986,491,767419,18679,2020/11/22 05:00:00+00,2020/11/28 05:00:00+00,202048,27
58.7684,-8.209333,1.129333,0.2172,301,39.2224,8,1.0425,2021/02/25 11:17:00+00,347,2020/11/26 05:00:00+00,36218,499,767419,18999,2020/11/22 05:00:00+00,2020/11/28 05:00:00+00,202048,28
59.9846,1.2162,0.651533,-0.4778,467,60.8533,1,0.1303,2021/02/25 11:17:00+00,542,2020/11/27 05:00:00+00,36666,499,767419,19540,2020/11/22 05:00:00+00,2020/11/28 05:00:00+00,202048,29
74.665866,14.681266,0.390933,-0.2606,951,123.9219,0,0,2021/02/25 11:17:00+00,453,2020/11/28 05:00:00+00,37614,499,767419,19980,2020/11/22 05:00:00+00,2020/11/28 05:00:00+00,202048,30
80.225633,5.559767,0.086866,-0.304067,429,55.9017,1,0.1303,2021/02/25 11:17:00+00,140,2020/11/29 05:00:00+00,38030,500,767419,20120,2020/11/29 05:00:00+00,2020/12/05 05:00:00+00,202049,31
78.3579,-1.867733,0.086866,0,424,55.2501,1,0.1303,2021/02/25 11:17:00+00,144,2020/11/30 05:00:00+00,38452,500,767419,20255,2020/11/29 05:00:00+00,2020/12/05 05:00:00+00,202049,32
62.851366,-15.506534,0.347466,0.2606,594,77.4023,6,0.7818,2021/02/25 11:17:00+00,435,2020/12/01 05:00:00+00,39014,505,767419,20688,2020/11/29 05:00:00+00,2020/12/05 05:00:00+00,202049,33
74.535533,11.684167,0.608066,0.2606,698,90.9542,7,0.9121,2021/02/25 11:17:00+00,388,2020/12/02 05:00:00+00,39683,511,767419,21071,2020/11/29 05:00:00+00,2020/12/05 05:00:00+00,202049,34
83.570166,9.034633,1.085866,0.4778,632,82.354,12,1.5637,2021/02/25 11:17:00+00,369,2020/12/03 05:00:00+00,40295,523,767419,21440,2020/11/29 05:00:00+00,2020/12/05 05:00:00+00,202049,35
84.8298,1.259634,0.912133,-0.173733,623,81.1812,2,0.2606,2021/02/25 11:17:00+00,257,2020/12/04 05:00:00+00,40908,524,767419,21689,2020/11/29 05:00:00+00,2020/12/05 05:00:00+00,202049,36
78.966,-5.8638,0.781833,-0.1303,563,73.3628,4,0.5212,2021/02/25 11:17:00+00,218,2020/12/05 05:00:00+00,41452,529,767419,21894,2020/11/29 05:00:00+00,2020/12/05 05:00:00+00,202049,37
74.622433,-4.343567,0.304033,-0.4778,532,69.3233,1,0.1303,2021/02/25 11:17:00+00,140,2020/12/06 05:00:00+00,41964,530,767419,22028,2020/12/06 05:00:00+00,2020/12/12 05:00:00+00,202050,38
62.0261,-12.596333,0.217166,-0.086867,333,43.3922,0,0,2021/02/25 11:17:00+00,123,2020/12/07 05:00:00+00,42296,530,767419,22149,2020/12/06 05:00:00+00,2020/12/12 05:00:00+00,202050,39
60.028066,-1.998034,0.434366,0.2172,517,67.3687,9,1.1728,2021/02/25 11:17:00+00,396,2020/12/08 05:00:00+00,42795,539,767419,22538,2020/12/06 05:00:00+00,2020/12/12 05:00:00+00,202050,40
46.258966,-13.7691,0.781866,0.3475,215,28.016,9,1.1728,2021/02/25 11:17:00+00,473,2020/12/09 05:00:00+00,42993,548,767419,23001,2020/12/06 05:00:00+00,2020/12/12 05:00:00+00,202050,41
61.8958,15.636834,0.999033,0.217167,693,90.3027,5,0.6515,2021/02/25 11:17:00+00,386,2020/12/10 05:00:00+00,43771,553,767419,23383,2020/12/06 05:00:00+00,2020/12/12 05:00:00+00,202050,42
64.284766,2.388966,0.999033,0,572,74.5356,9,1.1728,2021/02/25 11:17:00+00,304,2020/12/11 05:00:00+00,44421,564,767419,23680,2020/12/06 05:00:00+00,2020/12/12 05:00:00+00,202050,43
81.224666,16.9399,1.2162,0.217167,605,78.8357,14,1.8243,2021/02/25 11:17:00+00,231,2020/12/12 05:00:00+00,45006,578,767419,23900,2020/12/06 05:00:00+00,2020/12/12 05:00:00+00,202050,44
75.491166,-5.7335,0.999033,-0.217167,561,73.1022,0,0,2021/02/25 11:17:00+00,147,2020/12/13 05:00:00+00,45564,578,767419,24047,2020/12/13 05:00:00+00,2020/12/19 05:00:00+00,202051,45
68.498,-6.993166,0.6081,-0.390933,411,53.5561,0,0,2021/02/25 11:17:00+00,128,2020/12/14 05:00:00+00,45974,578,767419,24175,2020/12/13 05:00:00+00,2020/12/19 05:00:00+00,202051,46
63.416033,-5.081967,0.217166,-0.390934,488,63.5898,5,0.6515,2021/02/25 11:17:00+00,436,2020/12/15 05:00:00+00,46440,582,767419,24591,2020/12/13 05:00:00+00,2020/12/19 05:00:00+00,202051,47
55.293566,-8.122467,0.694966,0.4778,374,48.7348,11,1.4334,2021/02/25 11:17:00+00,437,2020/12/16 05:00:00+00,46791,593,767419,25018,2020/12/13 05:00:00+00,2020/12/19 05:00:00+00,202051,48
50.6894,-4.604166,0.8687,0.173734,305,39.7436,4,0.5212,2021/02/25 11:17:00+00,354,2020/12/17 05:00:00+00,47086,597,767419,25366,2020/12/13 05:00:00+00,2020/12/19 05:00:00+00,202051,49
53.9905,3.3011,1.2162,0.3475,564,73.4931,13,1.694,2021/02/25 11:17:00+00,259,2020/12/18 05:00:00+00,47639,610,767419,25621,2020/12/13 05:00:00+00,2020/12/19 05:00:00+00,202051,50
46.345833,-20.154133,0.8687,-0.217166,78,10.1639,1,0.1303,2021/02/25 11:17:00+00,40,2021/02/07 05:00:00+00,69759,845,767419,34260,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,51
34.183833,-12.162,0.781833,-0.086867,296,38.5708,1,0.1303,2021/02/25 11:17:00+00,90,2021/02/08 05:00:00+00,70058,843,767419,34348,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,52
36.746533,2.5627,0.304033,-0.4778,472,61.5049,5,0.6515,2021/02/25 11:17:00+00,198,2021/02/09 05:00:00+00,70516,849,767419,34528,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,53
45.9549,9.208367,0.304033,0,290,37.789,1,0.1303,2021/02/25 11:17:00+00,172,2021/02/10 05:00:00+00,70796,851,767419,34697,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,54
48.821666,2.866766,0.477766,0.173733,362,47.1711,5,0.6515,2021/02/25 11:17:00+00,364,2021/02/11 05:00:00+00,71126,856,767419,35063,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,55
43.3922,-5.429466,0.304033,-0.173733,347,45.2165,1,0.1303,2021/02/25 11:17:00+00,186,2021/02/12 05:00:00+00,71511,857,767419,35248,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,56
