age_count,age_group,age_group_deceased,age_group_percent,age_group_vaccinated,deceased_percent,LOADED,population_percent,total_Confirmed,total_deceased,total_vaccinated,vaccinated_percent,ObjectId
3824,0,1,3.2,77,0.1,2021/11/03 10:12:00+00,6.3,120251,1577,382237,0,1
4968,5,0,4.1,15,0,2021/11/03 10:12:00+00,6.1,120251,0,382237,0,2
6572,10,0,5.5,11214,0,2021/11/03 10:12:00+00,6.2,120251,0,382237,2.9,3
8748,15,0,7.3,19449,0,2021/11/03 10:12:00+00,6,120251,0,382237,5.1,4
10710,20,1,8.9,20646,0.1,2021/11/03 10:12:00+00,6.3,120251,1577,382237,5.4,5
10689,25,0,8.9,24152,0,2021/11/03 10:12:00+00,7.8,120251,0,382237,6.3,6
10282,30,12,8.6,26799,0.8,2021/11/03 10:12:00+00,7,120251,1577,382237,7,7
9238,35,8,7.7,26932,0.5,2021/11/03 10:12:00+00,6.4,120251,1577,382237,7,8
8928,40,19,7.4,26811,1.2,2021/11/03 10:12:00+00,6.1,120251,1577,382237,7,9
8156,45,33,6.8,26901,2.1,2021/11/03 10:12:00+00,6.2,120251,1577,382237,7,10
7958,50,53,6.6,29070,3.4,2021/11/03 10:12:00+00,6.5,120251,1577,382237,7.6,11
7679,55,70,6.4,32261,4.4,2021/11/03 10:12:00+00,7,120251,1577,382237,8.4,12
6797,60,117,5.7,37336,7.4,2021/11/03 10:12:00+00,6.5,120251,1577,382237,9.8,13
5112,65,152,4.3,33410,9.6,2021/11/03 10:12:00+00,5.4,120251,1577,382237,8.7,14
4045,70,225,3.4,29234,14.3,2021/11/03 10:12:00+00,3.8,120251,1577,382237,7.6,15
2558,75,195,2.1,17688,12.4,2021/11/03 10:12:00+00,2.5,120251,1577,382237,4.6,16
1777,80,219,1.5,10942,13.9,2021/11/03 10:12:00+00,1.9,120251,1577,382237,2.9,17
2210,85,472,1.8,9300,29.9,2021/11/03 10:12:00+00,2,120251,1577,382237,2.4,18
