county,date,cases
40047,2020/04/26,0
40047,2020/05/03,0
40047,2020/05/10,0
40047,2020/05/17,0
40047,2020/05/24,4.87
40047,2020/05/31,9.75
40047,2020/06/07,9.75
40047,2020/06/14,9.75
40047,2020/06/21,14.62
40047,2020/06/28,14.62
40047,2020/07/05,14.62
40047,2020/07/12,14.62
40047,2020/07/19,14.62
40047,2020/07/26,14.62
40047,2020/08/02,24.37
40047,2020/08/09,24.37
40047,2020/08/16,24.37
40047,2020/08/23,24.37
40047,2020/08/30,24.37
40047,2020/09/06,29.25
40047,2020/09/13,29.25
40047,2020/09/20,34.12
40047,2020/09/27,39
40047,2020/10/04,39
40047,2020/10/11,43.87
40047,2020/10/18,43.87
40047,2020/10/25,53.62
40047,2020/11/01,58.49
40047,2020/11/08,68.24
40047,2020/11/15,68.24
40047,2020/11/22,68.24
40047,2020/11/29,82.87
40047,2020/12/06,87.74
40047,2020/12/13,87.74
40047,2020/12/20,92.62
40047,2020/12/27,92.62
40047,2021/01/03,92.62
40047,2021/01/10,102.36
40047,2021/01/17,112.11
40047,2021/01/24,112.11
40047,2021/01/31,116.99
40047,2021/02/07,116.99
40047,2021/02/14,116.99
40047,2021/02/21,116.99
40047,2021/02/28,121.86
40047,2021/03/07,121.86
40047,2021/03/14,121.86
40047,2021/03/21,121.86
40047,2021/03/28,121.86
40047,2021/04/04,121.86
40047,2021/04/11,121.86
40047,2021/04/18,121.86
40047,2021/04/25,121.86
40047,2021/05/02,121.86
40047,2021/05/09,121.86
40047,2021/05/16,121.86
40047,2021/05/23,121.86
40047,2021/05/30,121.86
40047,2021/06/06,121.86
40047,2021/06/13,121.86
40047,2021/06/20,121.86
40047,2021/06/27,121.86
40047,2021/07/04,121.86
40047,2021/07/11,121.86
40047,2021/07/18,121.86
40047,2021/07/25,121.86
40047,2021/08/01,121.86
40047,2021/08/08,121.86
40047,2021/08/15,121.86
40047,2021/08/22,121.86
40047,2021/08/29,121.86
40047,2021/09/05,121.86
40047,2021/09/12,121.86
40047,2021/09/19,121.86
40047,2021/09/26,121.86
40047,2021/10/03,121.86
40047,2021/10/10,121.86
40047,2021/10/17,121.86
40215,2020/04/26,0
40215,2020/05/03,0
40215,2020/05/10,0
40215,2020/05/17,4.82
40215,2020/05/24,28.91
40215,2020/05/31,602.29
40215,2020/06/07,626.39
40215,2020/06/14,650.48
40215,2020/06/21,698.66
40215,2020/06/28,732.39
40215,2020/07/05,770.94
40215,2020/07/12,867.3
40215,2020/07/19,949.21
40215,2020/07/26,1016.67
40215,2020/08/02,1141.95
40215,2020/08/09,1368.41
40215,2020/08/16,1594.87
40215,2020/08/23,1652.69
40215,2020/08/30,1840.61
40215,2020/09/06,1912.88
40215,2020/09/13,2004.43
40215,2020/09/20,2148.98
40215,2020/09/27,2250.17
40215,2020/10/04,2365.81
40215,2020/10/11,2505.54
40215,2020/10/18,2674.18
40215,2020/10/25,2881.37
40215,2020/11/01,3083.74
40215,2020/11/08,3396.94
40215,2020/11/15,3811.31
40215,2020/11/22,4158.23
40215,2020/11/29,4471.43
40215,2020/12/06,4803.89
40215,2020/12/13,5039.99
40215,2020/12/20,5280.91
40215,2020/12/27,5497.74
40215,2021/01/03,5801.29
40215,2021/01/10,6037.39
40215,2021/01/17,6234.94
40215,2021/01/24,6456.59
40215,2021/01/31,6726.41
40215,2021/02/07,6923.97
40215,2021/02/14,7078.15
40215,2021/02/21,7164.88
40215,2021/02/28,7372.07
40215,2021/03/07,7487.71
40215,2021/03/14,7598.54
40215,2021/03/21,7690.08
40215,2021/03/28,7796.09
40215,2021/04/04,7882.82
40215,2021/04/11,7984
40215,2021/04/18,8099.64
40215,2021/04/25,8224.92
40215,2021/05/02,8355.02
40215,2021/05/09,8509.2
40215,2021/05/16,8658.57
40215,2021/05/23,8740.48
40215,2021/05/30,8807.94
40215,2021/06/06,8851.31
40215,2021/06/13,8865.76
40215,2021/06/20,8889.85
40215,2021/06/27,8928.4
40215,2021/07/04,8957.31
40215,2021/07/11,8995.86
40215,2021/07/18,9077.77
40215,2021/07/25,9212.68
40215,2021/08/01,9429.51
40215,2021/08/08,9790.88
40215,2021/08/15,10248.63
40215,2021/08/22,10865.38
40215,2021/08/29,11395.39
40215,2021/09/05,11776.04
40215,2021/09/12,12363.88
40215,2021/09/19,12816.81
40215,2021/09/26,13264.91
40215,2021/10/03,13616.65
40215,2021/10/10,13867.21
40215,2021/10/17,14141.85
40220,2020/04/26,0
40220,2020/05/03,0
40220,2020/05/10,0
40220,2020/05/17,2.94
40220,2020/05/24,11.76
40220,2020/05/31,499.63
40220,2020/06/07,540.78
40220,2020/06/14,573.11
40220,2020/06/21,608.38
40220,2020/06/28,708.3
40220,2020/07/05,872.89
40220,2020/07/12,1013.96
40220,2020/07/19,1205
40220,2020/07/26,1331.37
40220,2020/08/02,1457.75
40220,2020/08/09,1569.43
40220,2020/08/16,1698.75
40220,2020/08/23,1801.62
40220,2020/08/30,1913.3
40220,2020/09/06,1992.65
40220,2020/09/13,2101.4
40220,2020/09/20,2236.59
40220,2020/09/27,2409.99
40220,2020/10/04,2583.39
40220,2020/10/11,2756.8
40220,2020/10/18,2994.86
40220,2020/10/25,3338.72
40220,2020/11/01,3620.87
40220,2020/11/08,3923.59
40220,2020/11/15,4246.88
40220,2020/11/22,4637.77
40220,2020/11/29,5081.56
40220,2020/12/06,5484.2
40220,2020/12/13,5804.56
40220,2020/12/20,6080.82
40220,2020/12/27,6360.03
40220,2021/01/03,6792.06
40220,2021/01/10,7227.04
40220,2021/01/17,7538.57
40220,2021/01/24,7879.5
