county,date,cases
40047,4/26/20,0
40047,5/3/20,0
40047,5/10/20,0
40047,5/17/20,0
40047,5/24/20,4.87
40047,5/31/20,9.75
40047,6/7/20,9.75
40047,6/14/20,9.75
40047,6/21/20,14.62
40047,6/28/20,14.62
40047,7/5/20,14.62
40047,7/12/20,14.62
40047,7/19/20,14.62
40047,7/26/20,14.62
40047,8/2/20,24.37
40047,8/9/20,24.37
40047,8/16/20,24.37
40047,8/23/20,24.37
40047,8/30/20,24.37
40047,9/6/20,29.25
40047,9/13/20,29.25
40047,9/20/20,34.12
40047,9/27/20,39
40047,10/4/20,39
40047,10/11/20,43.87
40047,10/18/20,43.87
40047,10/25/20,53.62
40047,11/1/20,58.49
40047,11/8/20,68.24
40047,11/15/20,68.24
40047,11/22/20,68.24
40047,11/29/20,82.87
40047,12/6/20,87.74
40047,12/13/20,87.74
40047,12/20/20,92.62
40047,12/27/20,92.62
40047,1/3/21,92.62
40047,1/10/21,102.36
40047,1/17/21,112.11
40047,1/24/21,112.11
40047,1/31/21,116.99
40047,2/7/21,116.99
40047,2/14/21,116.99
40047,2/21/21,116.99
40047,2/28/21,121.86
40047,3/7/21,121.86
40047,3/14/21,121.86
40047,3/21/21,121.86
40047,3/28/21,121.86
40047,4/4/21,121.86
40047,4/11/21,121.86
40047,4/18/21,121.86
40047,4/25/21,121.86
40047,5/2/21,121.86
40047,5/9/21,121.86
40047,5/16/21,121.86
40047,5/23/21,121.86
40047,5/30/21,121.86
40047,6/6/21,121.86
40047,6/13/21,121.86
40047,6/20/21,121.86
40047,6/27/21,121.86
40047,7/4/21,121.86
40047,7/11/21,121.86
40047,7/18/21,121.86
40047,7/25/21,121.86
40047,8/1/21,121.86
40047,8/8/21,121.86
40047,8/15/21,121.86
40047,8/22/21,121.86
40047,8/29/21,121.86
40047,9/5/21,121.86
40047,9/12/21,121.86
40047,9/19/21,121.86
40047,9/26/21,121.86
40047,10/3/21,121.86
40047,10/10/21,121.86
40047,10/17/21,121.86
40215,4/26/20,0
40215,5/3/20,0
40215,5/10/20,0
40215,5/17/20,4.82
40215,5/24/20,28.91
40215,5/31/20,602.29
40215,6/7/20,626.39
40215,6/14/20,650.48
40215,6/21/20,698.66
40215,6/28/20,732.39
40215,7/5/20,770.94
40215,7/12/20,867.3
40215,7/19/20,949.21
40215,7/26/20,1016.67
40215,8/2/20,1141.95
40215,8/9/20,1368.41
40215,8/16/20,1594.87
40215,8/23/20,1652.69
40215,8/30/20,1840.61
40215,9/6/20,1912.88
40215,9/13/20,2004.43
40215,9/20/20,2148.98
40215,9/27/20,2250.17
40215,10/4/20,2365.81
40215,10/11/20,2505.54
40215,10/18/20,2674.18
40215,10/25/20,2881.37
40215,11/1/20,3083.74
40215,11/8/20,3396.94
40215,11/15/20,3811.31
40215,11/22/20,4158.23
40215,11/29/20,4471.43
40215,12/6/20,4803.89
40215,12/13/20,5039.99
40215,12/20/20,5280.91
40215,12/27/20,5497.74
40215,1/3/21,5801.29
40215,1/10/21,6037.39
40215,1/17/21,6234.94
40215,1/24/21,6456.59
40215,1/31/21,6726.41
40215,2/7/21,6923.97
40215,2/14/21,7078.15
40215,2/21/21,7164.88
40215,2/28/21,7372.07
40215,3/7/21,7487.71
40215,3/14/21,7598.54
40215,3/21/21,7690.08
40215,3/28/21,7796.09
40215,4/4/21,7882.82
40215,4/11/21,7984
40215,4/18/21,8099.64
40215,4/25/21,8224.92
40215,5/2/21,8355.02
40215,5/9/21,8509.2
40215,5/16/21,8658.57
40215,5/23/21,8740.48
40215,5/30/21,8807.94
40215,6/6/21,8851.31
40215,6/13/21,8865.76
40215,6/20/21,8889.85
40215,6/27/21,8928.4
40215,7/4/21,8957.31
40215,7/11/21,8995.86
40215,7/18/21,9077.77
40215,7/25/21,9212.68
40215,8/1/21,9429.51
40215,8/8/21,9790.88
40215,8/15/21,10248.63
40215,8/22/21,10865.38
40215,8/29/21,11395.39
40215,9/5/21,11776.04
40215,9/12/21,12363.88
40215,9/19/21,12816.81
40215,9/26/21,13264.91
40215,10/3/21,13616.65
40215,10/10/21,13867.21
40215,10/17/21,14141.85
40220,4/26/20,0
40220,5/3/20,0
40220,5/10/20,0
40220,5/17/20,2.94
40220,5/24/20,11.76
40220,5/31/20,499.63
40220,6/7/20,540.78
40220,6/14/20,573.11
40220,6/21/20,608.38
40220,6/28/20,708.3
40220,7/5/20,872.89
40220,7/12/20,1013.96
40220,7/19/20,1205
40220,7/26/20,1331.37
40220,8/2/20,1457.75
40220,8/9/20,1569.43
40220,8/16/20,1698.75
40220,8/23/20,1801.62
40220,8/30/20,1913.3
40220,9/6/20,1992.65
40220,9/13/20,2101.4
40220,9/20/20,2236.59
40220,9/27/20,2409.99
40220,10/4/20,2583.39
40220,10/11/20,2756.8
40220,10/18/20,2994.86
40220,10/25/20,3338.72
40220,11/1/20,3620.87
40220,11/8/20,3923.59
40220,11/15/20,4246.88
40220,11/22/20,4637.77
40220,11/29/20,5081.56
40220,12/6/20,5484.2
40220,12/13/20,5804.56
40220,12/20/20,6080.82
40220,12/27/20,6360.03
40220,1/3/21,6792.06
40220,1/10/21,7227.04
