OBJECTID,ZIPCODE,COLLECTION_WEEK_BEGINNING,census_2019_population,CONFIRMED_PER_WEEK_BEGINNING,ratePer100K,aveDaily_RatePer100K,Gating_criterion,total_CONFIRMED_PER_WEEK_BEGINN,total_ratePer100K,LOADED,SHAPE_Length,SHAPE_Area
98379,40047,2020/04/26 12:00:00+00,20515,0,0,0,1,0,0,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98380,40047,2020/05/03 12:00:00+00,20515,0,0,0,1,0,0,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98381,40047,2020/05/10 12:00:00+00,20515,0,0,0,1,0,0,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98382,40047,2020/05/17 12:00:00+00,20515,0,0,0,1,0,0,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98383,40047,2020/05/24 12:00:00+00,20515,1,4.87,0.7,1,1,4.87,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98384,40047,2020/05/31 12:00:00+00,20515,1,4.87,0.7,1,2,9.75,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98385,40047,2020/06/07 12:00:00+00,20515,0,0,0,1,2,9.75,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98386,40047,2020/06/14 12:00:00+00,20515,0,0,0,1,2,9.75,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98387,40047,2020/06/21 12:00:00+00,20515,1,4.87,0.7,1,3,14.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98388,40047,2020/06/28 12:00:00+00,20515,0,0,0,1,3,14.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98389,40047,2020/07/05 12:00:00+00,20515,0,0,0,1,3,14.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98390,40047,2020/07/12 12:00:00+00,20515,0,0,0,1,3,14.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98391,40047,2020/07/19 12:00:00+00,20515,0,0,0,1,3,14.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98392,40047,2020/07/26 12:00:00+00,20515,0,0,0,1,3,14.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98393,40047,2020/08/02 12:00:00+00,20515,2,9.75,1.39,2,5,24.37,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98394,40047,2020/08/09 12:00:00+00,20515,0,0,0,1,5,24.37,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98395,40047,2020/08/16 12:00:00+00,20515,0,0,0,1,5,24.37,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98396,40047,2020/08/23 12:00:00+00,20515,0,0,0,1,5,24.37,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98397,40047,2020/08/30 12:00:00+00,20515,0,0,0,1,5,24.37,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98398,40047,2020/09/06 12:00:00+00,20515,1,4.87,0.7,1,6,29.25,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98399,40047,2020/09/13 12:00:00+00,20515,0,0,0,1,6,29.25,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98400,40047,2020/09/20 12:00:00+00,20515,1,4.87,0.7,1,7,34.12,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98401,40047,2020/09/27 12:00:00+00,20515,1,4.87,0.7,1,8,39,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98402,40047,2020/10/04 12:00:00+00,20515,0,0,0,1,8,39,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98403,40047,2020/10/11 12:00:00+00,20515,1,4.87,0.7,1,9,43.87,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98404,40047,2020/10/18 12:00:00+00,20515,0,0,0,1,9,43.87,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98405,40047,2020/10/25 12:00:00+00,20515,2,9.75,1.39,2,11,53.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98406,40047,2020/11/01 12:00:00+00,20515,1,4.87,0.7,1,12,58.49,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98407,40047,2020/11/08 12:00:00+00,20515,2,9.75,1.39,2,14,68.24,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98408,40047,2020/11/15 12:00:00+00,20515,0,0,0,1,14,68.24,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98409,40047,2020/11/22 12:00:00+00,20515,0,0,0,1,14,68.24,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98410,40047,2020/11/29 12:00:00+00,20515,3,14.62,2.09,2,17,82.87,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98411,40047,2020/12/06 12:00:00+00,20515,1,4.87,0.7,1,18,87.74,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98412,40047,2020/12/13 12:00:00+00,20515,0,0,0,1,18,87.74,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98413,40047,2020/12/20 12:00:00+00,20515,1,4.87,0.7,1,19,92.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98414,40047,2020/12/27 12:00:00+00,20515,0,0,0,1,19,92.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98415,40047,2021/01/03 12:00:00+00,20515,0,0,0,1,19,92.62,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98416,40047,2021/01/10 12:00:00+00,20515,2,9.75,1.39,2,21,102.36,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
98417,40047,2021/01/17 12:00:00+00,20515,2,9.75,1.39,2,23,112.11,2021/10/24 06:12:57+00,0.107460834186803,0.000180950542875906
