county,date,population_count,cases
40023,11/6/21,1251,260
40023,11/6/21,627,260
40023,11/6/21,1145,966
40023,11/6/21,394,385
40023,11/6/21,751,581
40023,11/6/21,5372,3049
40023,11/6/21,1251,260
40023,11/6/21,627,260
40023,11/6/21,1145,966
40023,11/6/21,394,385
40023,11/6/21,751,581
40023,11/6/21,5372,3049
40025,11/6/21,18,10
40025,11/6/21,11,36
40025,11/6/21,18,56
40025,11/6/21,31,10
40025,11/6/21,91,94
40025,11/6/21,7,20
40041,11/6/21,326,343
40041,11/6/21,53,25
40041,11/6/21,379,368
40041,11/6/21,379,383
40047,11/6/21,4206,8
40047,11/6/21,4083,208
40047,11/6/21,2051,97
40047,11/6/21,2148,8
40047,11/6/21,2032,111
40047,11/6/21,20515,379
40059,11/6/21,19886,12900
40059,11/6/21,4144,1521
40059,11/6/21,2381,2268
40059,11/6/21,2198,1515
40059,11/6/21,5151,4412
40059,11/6/21,2770,2144
40067,11/6/21,1368,14
40067,11/6/21,6036,26
40109,11/6/21,593,27
40109,11/6/21,164,14
40109,11/6/21,1842,36
40109,11/6/21,429,13
40118,11/6/21,1484,365
40118,11/6/21,667,365
40118,11/6/21,778,636
40118,11/6/21,1830,1482
40118,11/6/21,9313,4248
40118,11/6/21,1052,846
40177,11/6/21,330,181
40177,11/6/21,334,26
40177,11/6/21,1672,446
40177,11/6/21,162,75
40177,11/6/21,192,26
40177,11/6/21,168,106
40202,11/6/21,458,95
40202,11/6/21,800,641
40202,11/6/21,1171,925
40202,11/6/21,371,284
40202,11/6/21,7194,4140
40202,11/6/21,287,95
40203,11/6/21,2761,320
40203,11/6/21,1271,320
40203,11/6/21,3462,2355
40203,11/6/21,1387,951
40203,11/6/21,17815,7030
40203,11/6/21,2075,1404
40204,11/6/21,1668,424
40204,11/6/21,2563,2297
40204,11/6/21,1443,1242
40204,11/6/21,802,423
40204,11/6/21,1120,1055
40204,11/6/21,14714,9328
40205,11/6/21,3280,2971
40205,11/6/21,24477,16500
40205,11/6/21,3529,1322
40205,11/6/21,2005,1322
40205,11/6/21,6576,5806
40205,11/6/21,3296,2835
40206,11/6/21,1031,767
40206,11/6/21,4638,3670
40206,11/6/21,2076,771
40206,11/6/21,2691,1950
40206,11/6/21,19693,12651
40206,11/6/21,1947,1720
40207,11/6/21,4387,3968
40207,11/6/21,8561,7492
40207,11/6/21,4295,1552
40207,11/6/21,4174,3524
40207,11/6/21,30228,20721
40207,11/6/21,1994,1543
40208,11/6/21,2119,1142
40208,11/6/21,4109,247
40208,11/6/21,2764,246
40208,11/6/21,768,440
40208,11/6/21,1351,702
40208,11/6/21,16036,5777
40209,11/6/21,36,14
40209,11/6/21,41,79
40209,11/6/21,27,14
40209,11/6/21,34,51
40209,11/6/21,316,243
40209,11/6/21,7,28
40210,11/6/21,14083,5647
40210,11/6/21,1476,420
40210,11/6/21,1668,1239
40210,11/6/21,999,1001
40210,11/6/21,3499,420
40210,11/6/21,2667,2240
40211,11/6/21,1974,2033
40211,11/6/21,22556,8828
40211,11/6/21,5166,696
40211,11/6/21,4162,3542
40211,11/6/21,2613,696
40211,11/6/21,2188,1509
40212,11/6/21,1762,495
40212,11/6/21,2034,1449
40212,11/6/21,1224,1073
40212,11/6/21,16700,6533
40212,11/6/21,3625,495
40212,11/6/21,3258,2522
40213,11/6/21,1840,1258
40213,11/6/21,16296,9079
40213,11/6/21,4143,2853
40213,11/6/21,2514,559
40213,11/6/21,1276,557
40213,11/6/21,2303,1595
40214,11/6/21,5215,3800
40214,11/6/21,45844,22917
40214,11/6/21,7565,1797
40214,11/6/21,3649,1795
40214,11/6/21,3778,3153
40214,11/6/21,8993,6953
40215,11/6/21,1873,1625
40215,11/6/21,1357,999
40215,11/6/21,4515,675
40215,11/6/21,1991,674
40215,11/6/21,20754,8917
40215,11/6/21,3230,2624
40216,11/6/21,3652,1585
40216,11/6/21,10397,7689
40216,11/6/21,4276,3354
40216,11/6/21,6121,4335
40216,11/6/21,42029,21124
40216,11/6/21,7199,1585
40217,11/6/21,1006,380
40217,11/6/21,498,380
40217,11/6/21,1411,1169
40217,11/6/21,1139,905
40217,11/6/21,12670,7844
40217,11/6/21,2550,2074
40218,11/6/21,3453,2777
40218,11/6/21,5759,1280
40218,11/6/21,2749,1280
40218,11/6/21,2711,2338
40218,11/6/21,6164,5115
40218,11/6/21,33668,17160
40219,11/6/21,3402,1584
40219,11/6/21,7654,6199
40219,11/6/21,3653,3061
40219,11/6/21,40106,20304
40219,11/6/21,4001,3138
40219,11/6/21,6906,1585
40220,11/6/21,4508,3708
40220,11/6/21,4266,3764
40220,11/6/21,4603,1306
40220,11/6/21,34025,21084
40220,11/6/21,2105,1306
40220,11/6/21,8774,7472
40222,11/6/21,1469,1063
40222,11/6/21,2851,2126
40222,11/6/21,6256,4952
40222,11/6/21,3405,2826
40222,11/6/21,22236,14312
40222,11/6/21,2992,1065
40223,11/6/21,2621,2674
40223,11/6/21,2896,2996
40223,11/6/21,4443,1297
40223,11/6/21,5517,5670
40223,11/6/21,23357,15583
40223,11/6/21,2278,1293
40225,11/6/21,0,25
40228,11/6/21,1752,1700
40228,11/6/21,15927,10524
40228,11/6/21,1257,841
40228,11/6/21,3497,3405
40228,11/6/21,1745,1705
40228,11/6/21,2352,842
40229,11/6/21,3116,2428
40229,11/6/21,39289,18742
40229,11/6/21,7329,1474
40229,11/6/21,6810,5233
40229,11/6/21,3665,1473
40229,11/6/21,3694,2805
40241,11/6/21,4600,1821
40241,11/6/21,4184,3271
40241,11/6/21,2246,1815
40241,11/6/21,8463,7336
40241,11/6/21,4279,4065
40241,11/6/21,30057,20458
40242,11/6/21,1396,1176
40242,11/6/21,2675,2441
40242,11/6/21,11073,6701
40242,11/6/21,1279,1265
40242,11/6/21,1731,520
40242,11/6/21,756,519
40242,11/6/21,1396,1176
40242,11/6/21,2675,2441
40242,11/6/21,11073,6701
40242,11/6/21,1279,1265
40242,11/6/21,1731,520
40242,11/6/21,756,519
40243,11/6/21,1678,1839
40243,11/6/21,849,562
40243,11/6/21,1264,1155
40243,11/6/21,10485,7542
40243,11/6/21,1776,562
40243,11/6/21,2942,2994
40245,11/6/21,2927,3445
40245,11/6/21,7137,2417
40245,11/6/21,3601,2415
40245,11/6/21,4405,3349
40245,11/6/21,34529,22980
40245,11/6/21,7332,6794
40258,11/6/21,3152,2474
40258,11/6/21,2499,2072
40258,11/6/21,26682,13163
40258,11/6/21,4916,1041
40258,11/6/21,2507,1041
40258,11/6/21,5651,4546
40272,11/6/21,38095,17557
40272,11/6/21,6488,1298
40272,11/6/21,4454,3410
40272,11/6/21,4379,3065
40272,11/6/21,3496,1297
40272,11/6/21,8833,6475
40291,11/6/21,6716,1885
40291,11/6/21,3523,1883
40291,11/6/21,4528,4033
40291,11/6/21,4372,4053
40291,11/6/21,37812,23044
40291,11/6/21,8900,8086
40299,11/6/21,41463,25962
40299,11/6/21,4154,2178
40299,11/6/21,5144,4463
40299,11/6/21,4613,4352
40299,11/6/21,9757,8815
40299,11/6/21,7986,2179
